job_title,company,location,salary,skills
Business Analyst,Google,Delhi,65874,"Python, SQL"
ML Engineer,Google,Bangalore,87745,"SQL, Power BI"
Data Scientist,Amazon,Hyderabad,40041,"Python, Excel"
Data Scientist,Google,Pune,91673,"SQL, Power BI"
Data Analyst,TCS,Hyderabad,91873,"Python, ML"
Business Analyst,Accenture,Pune,61567,"Python, SQL"
ML Engineer,Amazon,Hyderabad,96225,"Excel, Tableau"
Data Scientist,Infosys,Bangalore,72065,"Excel, Tableau"
Data Analyst,Wipro,Delhi,67607,"Python, ML"
ML Engineer,Wipro,Bangalore,49671,"SQL, Power BI"
Business Analyst,Infosys,Bangalore,92025,"SQL, Power BI"
Business Analyst,Wipro,Delhi,116506,"Python, ML"
Data Scientist,TCS,Bangalore,147118,"Python, SQL"
Data Analyst,TCS,Bangalore,71192,"SQL, Power BI"
Data Scientist,TCS,Mumbai,125090,"Python, SQL"
ML Engineer,Amazon,Mumbai,143757,"Python, Excel"
Data Analyst,Wipro,Hyderabad,108207,"SQL, Power BI"
Business Analyst,TCS,Delhi,144276,"SQL, Power BI"
Data Scientist,TCS,Delhi,50213,"SQL, Power BI"
Data Analyst,Amazon,Pune,89957,"Python, Excel"
Data Scientist,Accenture,Delhi,104058,"Python, ML"
Data Analyst,Google,Hyderabad,43977,"Excel, Tableau"
Business Analyst,Google,Mumbai,42998,"Python, SQL"
ML Engineer,Amazon,Bangalore,144152,"SQL, Power BI"
Data Analyst,Infosys,Bangalore,77726,"Python, ML"
Business Analyst,Wipro,Pune,60389,"SQL, Power BI"
Data Scientist,Accenture,Pune,58856,"Excel, Tableau"
ML Engineer,TCS,Delhi,46737,"Python, ML"
Business Analyst,TCS,Hyderabad,88619,"Excel, Tableau"
Data Analyst,Amazon,Pune,45068,"Python, Excel"
Data Analyst,TCS,Pune,64904,"SQL, Power BI"
ML Engineer,TCS,Pune,81992,"SQL, Power BI"
Data Scientist,Accenture,Delhi,132815,"Python, Excel"
Data Analyst,Google,Hyderabad,106138,"Python, ML"
Data Scientist,Infosys,Bangalore,75688,"SQL, Power BI"
ML Engineer,Google,Bangalore,63548,"Python, Excel"
ML Engineer,Infosys,Bangalore,75281,"Python, SQL"
Data Analyst,Google,Delhi,65002,"Python, SQL"
Data Scientist,TCS,Mumbai,114621,"Python, Excel"
Data Analyst,Amazon,Mumbai,147276,"Python, ML"
Data Scientist,TCS,Delhi,139183,"Python, SQL"
Business Analyst,TCS,Mumbai,44116,"SQL, Power BI"
Data Scientist,Google,Pune,50246,"Excel, Tableau"
Data Scientist,Google,Mumbai,143169,"Excel, Tableau"
ML Engineer,TCS,Mumbai,98893,"Python, ML"
Data Scientist,Accenture,Hyderabad,65235,"Python, Excel"
ML Engineer,Amazon,Hyderabad,149116,"SQL, Power BI"
Business Analyst,Infosys,Hyderabad,59466,"Python, Excel"
Data Analyst,Infosys,Mumbai,135397,"SQL, Power BI"
Data Scientist,Google,Mumbai,30992,"Python, ML"
Data Analyst,Accenture,Pune,68457,"SQL, Power BI"
Data Analyst,Google,Delhi,143833,"Excel, Tableau"
Business Analyst,TCS,Delhi,94565,"Python, Excel"
Business Analyst,Infosys,Mumbai,52621,"Excel, Tableau"
Data Analyst,Infosys,Mumbai,35542,"Excel, Tableau"
Business Analyst,Infosys,Hyderabad,122127,"SQL, Power BI"
ML Engineer,TCS,Mumbai,89526,"Excel, Tableau"
